regulator,target
ADNP,BMP1
ADNP,XRCC5
ADNP,SIRT6
ADNP,SNX2
ADNP,ZC3H11A
ADNP,POFUT2
ADNP,MED1
ADNP,CDK7
ADNP,UTF1
ADNP,AKT1
ADNP,CBX2
ADNP,IFITM1
ADNP,POLE4
ADNP,SMARCA5
ADNP,ADAM19
ADNP,SH3GLB1
ADNP,BSG
ADNP,ZFP990
ADNP,EMP2
ADNP,FKBP5
ADNP,RRBP1
ADNP,STX3
ADNP,MKRN1
ADNP,SRSF1
ADNP,SMC3
ADNP,ZFP217
ADNP,GLMP
ADNP,SUPT5
ADNP,ATF7IP
ADNP,DMAP1
ADNP,DAP
AEBP2,INO80
AEBP2,TAF3
AEBP2,RAF1
AEBP2,SMARCA5
AEBP2,YEATS4
AEBP2,EPOP
AEBP2,ERP29
AEBP2,SMARCA4
AEBP2,NACC1
AEBP2,HSP90AA1
AEBP2,ANP32A
AEBP2,SRSF1
AEBP2,MBD3
AEBP2,LAMP1
AEBP2,DPF2
AEBP2,RAD23B
AEBP2,SAP18
AEBP2,RRBP1
AEBP2,GTF3C1
AEBP2,SMARCC1
AEBP2,OSBP
AEBP2,RTN3
AEBP2,DPY30
AEBP2,CNOT3
AEBP2,SETD1A
AEBP2,CDC5L
AEBP2,DGCR8
AEBP2,PLA2G15
AEBP2,SLC39A8
AEBP2,FUT8
AEBP2,SDCBP
AEBP2,JARID2
AEBP2,RAD21
AEBP2,P4HA1
AEBP2,BEND5
AEBP2,ADGRA2
AEBP2,PARP1
AEBP2,COL4A2
AEBP2,COL4A1
AEBP2,FBRSL1
AEBP2,GNAS
AEBP2,CRTC3
AEBP2,SUPT5
AEBP2,PRDX1
AEBP2,MORC3
AEBP2,TGFBR3
AEBP2,HDAC2
AEBP2,ARPC5
AEBP2,FHDC1
AEBP2,P4HB
AEBP2,CTCF
AEBP2,COBLL1
AEBP2,MCRS1
AEBP2,TMBIM6
AEBP2,FGF3
AEBP2,HNRNPL
AEBP2,PDIA5
AEBP2,RBMXL2
AEBP2,ABHD5
AEBP2,NPM1
AEBP2,GMNN
AEBP2,SLC16A1
AEBP2,RPN2
AEBP2,DARS
AEBP2,PRKCE
AEBP2,TRIM28
AEBP2,HSPA4
AEBP2,ESRRB
AEBP2,IHH
AEBP2,SHTN1
AEBP2,ARPC2
AEBP2,CLTC
AEBP2,SH3GLB1
AEBP2,LRP2
AEBP2,AP2A2
AEBP2,PLOD2
AEBP2,KDM4C
AEBP2,ARHGAP29
AEBP2,POFUT2
AEBP2,TMED3
AEBP2,SFRP1
AEBP2,BRD2
AEBP2,ZFP143
AEBP2,KHDC3
AEBP2,PTH1R
AEBP2,SMAD1
AEBP2,HDLBP
AEBP2,CHST15
AEBP2,TMEM30A
AEBP2,KLF5
AEBP2,GTF2B
AEBP2,JUN
AEBP2,GPC6
AEBP2,RBPMS2
AEBP2,CPD
AEBP2,MSL2
AEBP2,BMP1
AEBP2,ACTL6A
AEBP2,GORASP2
AEBP2,APP
AEBP2,SLC25A4
AEBP2,RAP1GDS1
AEBP2,FST
AEBP2,MPHOSPH8
AEBP2,CDC16
AEBP2,ZBTB44
AEBP2,NCAPD3
AEBP2,ZFHX3
AEBP2,PTP4A1
AEBP2,GALNT7
AEBP2,DNAJC10
AEBP2,STAG1
AEBP2,DAP
AEBP2,DROSHA
AEBP2,LAMC1
AEBP2,EIF2S2
AEBP2,ZFP281
AEBP2,MAN1A
AEBP2,KDM1A
AEBP2,MTF2
AEBP2,SRSF2
